DATA FROM BINANCE
COLLECTED BY StonksBot#2363

StonksBot#2363 [01-Apr-2022]	[12:45] BTC $44671.82
StonksBot#2363 [01-Apr-2022]	[13:00] BTC $44669.10
StonksBot#2363 [01-Apr-2022]	[13:15] BTC $44594.55
StonksBot#2363 [01-Apr-2022]	[13:30] BTC $44770.12
StonksBot#2363 [01-Apr-2022]	[13:45] BTC $44770.22
StonksBot#2363 [01-Apr-2022]	[14:00] BTC $44803.70
StonksBot#2363 [01-Apr-2022]	[14:15] BTC $44851.93
StonksBot#2363 [01-Apr-2022]	[14:30] BTC $44930.25
StonksBot#2363 [01-Apr-2022]	[14:45] BTC $44935.87
StonksBot#2363 [01-Apr-2022]	[15:00] BTC $45024.16
StonksBot#2363 [01-Apr-2022]	[15:15] BTC $45120.48
StonksBot#2363 [01-Apr-2022]	[15:30] BTC $45303.66
StonksBot#2363 [01-Apr-2022]	[15:45] BTC $45236.40
StonksBot#2363 [01-Apr-2022]	[16:00] BTC $45137.06
StonksBot#2363 [01-Apr-2022]	[16:15] BTC $45129.07
StonksBot#2363 [01-Apr-2022]	[16:30] BTC $45243.19
StonksBot#2363 [01-Apr-2022]	[16:45] BTC $45063.11
StonksBot#2363 [01-Apr-2022]	[17:00] BTC $45086.18
StonksBot#2363 [01-Apr-2022]	[17:15] BTC $45085.35
StonksBot#2363 [01-Apr-2022]	[17:30] BTC $45149.50
StonksBot#2363 [01-Apr-2022]	[17:45] BTC $45093.83
StonksBot#2363 [01-Apr-2022]	[18:00] BTC $45234.54
StonksBot#2363 [01-Apr-2022]	[18:15] BTC $45211.19
StonksBot#2363 [01-Apr-2022]	[18:30] BTC $45259.99
StonksBot#2363 [01-Apr-2022]	[18:45] BTC $45121.00
StonksBot#2363 [01-Apr-2022]	[19:00] BTC $45068.64
StonksBot#2363 [01-Apr-2022]	[19:15] BTC $44989.98
StonksBot#2363 [01-Apr-2022]	[19:30] BTC $44852.02
StonksBot#2363 [01-Apr-2022]	[19:45] BTC $45192.72
StonksBot#2363 [01-Apr-2022]	[20:00] BTC $45326.58
